Companies with dual-class share structures (last updated 19-Aug-2025),,,
Company Name,Primary Ticker,Unequal Voting Structure,IPO 
,,"Class B: Formula (currently about 3,414,443 votes per share)",
Liberty Media,LSXMA ,Series A LibertySiriusXM: 1,2014
,,Series A Liberty Braves: 1,
,,Series A Libery Formula1: 1,
,,Series B LibertySiriusXM: 1 0,
,,Series B Liberty Braves: 1 0,
,,Series B Libery Formula1: 10,
,,Series C LibertySiriusXM: no votes,
,,Series C Liberty Braves: no votes,
,,Series C Libery Formula1: no votes,
Liberty Tax,TAX,Class A: 44% of board (4 / 9),2012
,,Class B: 66% of Board (5 / 9),
,,,
* Wedge in Time Phase Voting sturcture unable to be calcuated ,,,
